分类,名称 / 机构,主要数据内容与适用场景,API 类型与接入方式,是否需要认证 / 典型限制,官方入口与文档,真实性,知识案例
文本,国家卫生健康委（NHC）及卫生健康标准网,国家层面的卫生健康政策文件、标准规范（诊疗规范、诊断标准、操作规范等）；适合做权威政策、标准解读类问答，以及在 RAG 中作为“规范依据”引用来源。,无公开在线 API；以 HTML/PDF 文档形式发布，需要通过爬虫或手动下载，进行本地切片和向量化。,网站内容公开可访问，但受版权/使用条款限制；大规模对外提供检索服务前需确认合规；注意遵守 robots.txt。,国家卫健委官网：http://www.nhc.gov.cn<br>卫生健康标准网：https://wsbz.nhc.gov.cn,是,无公开API - 可通过爬取获取卫生健康政策文件、诊疗规范、诊断标准等
文本,国家药品监督管理局（NMPA）及相关政务服务平台,药品、医疗器械、化妆品等注册审批信息、公告、说明书修订、召回信息等；适合做用药安全问答（药品说明书要点、禁忌、不良反应）、监管政策问答等。,无统一的公开 API；以公告/网页/文档形式发布，部分通过政务服务平台提供查询功能；需要自行抓取或下载后做本地处理。,信息为公开政府信息，但网页内容受网站使用条款约束；包含企业敏感信息的部分不得外泄或用于不当用途。,国家药监局官网：https://www.nmpa.gov.cn<br>相关政务服务平台入口（官网顶部导航可进入）。,是,无统一公开API - 可查询药品、医疗器械注册审批信息、说明书、召回信息等
文本,国家药监局 NMPA：医疗器械唯一标识（UDI）管理信息系统 数据共享 API,医疗器械唯一标识（UDI）与产品相关信息：产品标识、生产企业、流通信息等；适合：器械追溯、器械信息查询 RAG（偏向器械/耗材）,REST 风格 HTTP（JSON）；有 /api/beta/v3/sharing 等共享接口，标准文档中给出请求/响应示例,需要“访问令牌 accessToken”（放在请求头），面向流通/使用单位等对接方，需按规范申请,UDI 接口对接说明页：https://udi.nmpa.gov.cn/showListInterr.html,是,需要访问令牌 - 提供医疗器械唯一标识(UDI)与产品信息查询
文本,中国临床试验注册中心（ChiCTR）,中国地区临床试验注册信息：干预性试验的 WHO 注册数据集，中英双语；适合：查询中国境内的临床试验信息,目前主要是 Web 检索 + 数据导出/文件下载，未在 WHO ICTRP 注册信息中看到公开 REST API 说明,注册与公开查询免费；暂无官方开放的编程接口供自动检索（有第三方社区自行封装搜索服务的示例）,中文官网：https://www.chictr.org.cn<br>WHO 注册库介绍：https://www.who.int/tools/clinical-trials-registry-platform/network/primary-registries/chinese-clinical-trial-registry-(chictr),是,无公开REST API - 可通过Web检索中国临床试验注册信息
文本,中华医学会及相关指南/共识（通过医学网站聚合发布）,各专科临床指南、专家共识、诊疗路径等，是国内临床实践最权威的文本来源之一；适合做专科诊疗决策支持、按指南的问答（例如“某病指南推荐用药及证据等级”）。,无统一的官方 API；通常以 PDF/HTML 形式发布，并通过医脉通、医视屏、医境等第三方医学网站聚合，可下载后做本地切分与向量化。,指南/共识版权归学会/期刊所有，仅供内部使用或科研使用；对外提供基于指南的问答服务需评估版权及使用合规，必要时取得授权。,各专科指南可通过中华医学会官网（https://www.cma.org.cn）以及常见医学资讯网站检索；具体需按专科和年份查找。,是,无统一API - 包含各专科临床指南、专家共识，需下载PDF后本地处理
文本,中国知网（CNKI，China National Knowledge Infrastructure）,中文期刊论文、博硕士学位论文、会议论文、报纸、年鉴、专利、标准等；适合：学术文献问答、文献综述辅助、循证医学/社科政策研究、科研情报分析等 RAG 场景,官方并未提供对公众开放的通用全文检索/下载 API；主要通过：- Web 检索 + 浏览器下载；- 机构账号统一认证访问。网络上有第三方非官方封装，例如 GitHub 上的 MagicCNKI 等项目，基于 search.cnki.net 的 Web 搜索接口做 Python 封装，用于检索，但这些并非官方 API，也不保证稳定性,需要机构订购账号或个人账号；使用条款中一般禁止大规模自动化抓取、批量下载和重新分发。知网本身近年来因作品授权问题多次被诉并败诉，版权风险较高，第三方未经授权的爬取/解析在商业产品中使用风险更大。,官方入口：https://www.cnki.net<br>第三方非官方封装示例（MagicCNKI）：https://github.com/1049451037/MagicCNKI【,是,无公开API - 中文期刊论文、学位论文等，需机构账号，有第三方封装如MagicCNKI
文本,万方数据（Wanfang Data）,中文期刊（尤其理工、医学）、学位论文、会议论文、标准、专利、法规、地方志等；适合：工程技术、医学、农学等领域的专业问答、证据检索、标准与规范查询,官方设有“万方数据开放平台”，提供统一的 API 目录与应用管理（apps.wanfangdata.com.cn），提供文献查询、选题 API 等接口，但并非对公众完全开放的“免费公共 API”，而是基于账号/应用的接入方式，通常面向合作方或机构用户,要在开放平台注册、创建应用，部分接口可能显示“无认证”，但整体使用仍受平台服务条款和商业授权约束，禁止大规模重新分发或超出授权范围的文本挖掘/训练；版权由期刊社/出版社/作者共同所有，未经授权的商业再利用风险较高,万方数据知识服务平台：https://www.wfdata.com<br>万方数据开放平台 API 目录：https://apps.wanfangdata.com.cn/open/market/apis,是,需万方开放平台申请 - 提供文献查询、选题API等接口
文本,Huatuo-26M / 深圳市大数据研究院、FreedomIntelligence,目前规模最大的中文医疗问答数据集，约 2600 万条 QA 对，覆盖多科室、多疾病；适合训练或微调医疗问答模型，也可以作为检索增强（RAG）的候选问答池。,无官方在线 API；提供数据集下载（压缩文件），可在本地构建向量索引或用于模型训练/评测。,一般按数据集平台的许可使用（多为研究用途）；不可直接商用或对外提供大规模下载服务，需遵守使用条款。,GitHub 项目：https://github.com/FreedomIntelligence/Huatuo-26M<br>深圳市大数据研究院数据页：https://dataset.sribd.cn/huatuo-26M.html<br>OpenDataLab 下载页：https://opendatalab.com/OpenDataLab/Huatuo-26M/download,是,数据集下载 - 约2600万条中文医疗问答，如：'Q:高血压的症状有哪些？A:头痛、头晕、心悸、耳鸣...'
文本,huatuo_knowledge_graph_qa / FreedomIntelligenc,基于医疗知识图谱构建的问答数据集，约 79.8 万条，问题通过模板自动生成，答案来自图谱；适合训练/评测知识图谱驱动的医疗 QA 系统，也可作为 RAG 评测集。,官方在线 API；提供数据集文件下载，可在本地建索引或用于模型训练。,为研究用途，需按平台/作者声明的许可使用；通常要求在论文或项目中引用。,Hugging Face 数据集页：https://huggingface.co/datasets/FreedomIntelligence/huatuo_knowledge_graph_qa<br>OpenDataLab 介绍页：https://opendatalab.com/OpenDataLab/huatuo-knowledge-graph-qa<br>数据集卡片（中文）：https://www.atyun.com/datasets/info/FreedomIntelligence/huatuo_knowledge_graph_qa.html,是,数据集下载 - 约79.8万条基于知识图谱的医疗问答
图谱,Disease Ontology（DO / DO‑KB）美国华盛顿大学,人类疾病分类本体，提供疾病概念、层级及与其他编码（ICD‑10、MeSH、UMLS、SNOMED CT 等）的交叉映射；适合做疾病标准化、疾病层级导航和与其他编码系统的桥接,提供公开 REST API（Swagger/OpenAPI 文档），可按疾病名、子串、数值范围、关系等查询；同时提供 DO‑KB SPARQL 端点（支持联邦查询）和在线 SPARQL Sandbox。,公开 API 和 SPARQL 端点无需 Key，但可能有频控；本体开放获取，按 OBO/CC‑BY 许可使用；需在论文或产品中引用 DO。,DO‑KB API 文档：https://disease-ontology.org/do-kb/api_doc<br>DO‑KB SPARQL Sandbox（含端点）：https://disease-ontology.org/do-kb/sparql,是,"Disease Ontology示例 - DOID:4 (disease): ""A disease is a disposition (i) to undergo pathological processes that (ii) exists in an organism be..."
图谱,Orphanet Rare Diseases Ontology（ORDO）,罕见病及其与基因、表型、流行病学等信息的本体；适合做罕见病知识问答、基因–罕见病关联查询、与 DO/EFO/HPO 联合查询，另外有中文版,提供通过 Orphanet / EBI Ontology Lookup Service 等方式访问本体；有 SPARQL 端点用于 ORDO 上的复杂查询（常用于与其他资源做联邦查询）。,公开 SPARQL 端点无需 Key，但遵循 EBI/ELIXIR 使用政策；Orphanet 数据对研究和教育用途开放，商业使用需遵守 Orphanet 许可与授权规则。,Orphanet Ontologies 页面：https://www.orphadata.com/_ontologies/<br>ELIXIR 对 Orphanet 的描述（含 SPARQL）：https://elixir-europe.org/intranet/forms/rir-selection/sid358,是,SPARQL端点可用 - 罕见病本体，包含疾病与基因、表型、流行病学信息
图谱,DrugCentral,开放的药物信息数据库，包含活性成分、适应症、靶点、机制、药物相互作用等；适合做开源/可商用场景的药物知识问答。,提供 Postgres 数据库 dump 下载，可自建服务；社区提供 BioClients 封装（Python 等）对自建 DB 或公共实例做查询；并非典型的 SaaS API。,数据开源、免费获取；商业使用友好；但你需要自己建库与维护接口，或者使用社区封装。,DrugCentral 下载页：https://drugcentral.org/download<br>BioClients 的 DrugCentral 封装文档：https://github.com/jeremyjyang/BioClients/blob/master/doc/drugcentral.md,是,需自建数据库 - 提供药物活性成分、适应症、靶点、相互作用等数据
图谱,PrimeKG（Precision Medicine Knowledge Graph）,面向精准医学的多模态知识图谱，整合了约 20 个高引用生物医学数据库（疾病、药物、蛋白、通路等）；适合做复杂医学问答与多跳推理。,提供 Neo4j 导出与 RDF 版本，可自建 SPARQL 端点；论文与项目说明将 PrimeKG 转为 RDF 并搭建 SPARQL 端点，便于集成到 RAG 或 KGQA 系统中,数据开源，按 CC BY 或类似许可使用；SPARQL 端点通常需要自己部署或使用官方/社区提供的公共端点（如有），需注意频率与使用政策。,论文（PrimeKG 框架）：https://arxiv.org/pdf/2311.06524<br>介绍 PrimeKG 的 QA 数据集与用法：https://aihub.org/2025/01/17/generating-a-biomedical-knowledge-graph-question-answering-dataset/,是,需自建SPARQL端点 - 精准医学知识图谱，整合约20个生物医学数据库
图谱,UMLS Terminology Services（UTS）/ FHIR UMLS API,UMLS 整合了大量医学术语与编码（SNOMED CT、MeSH、LOINC、ICD‑10、RxNorm 等），是“超级术语词典”；适合做术语对齐、编码验证和跨系统术语桥接。,提供 REST 术语服务（UTS）与 FHIR 格式的 Terminology Service 端点，可进行 ValueSet/$expand、CodeSystem/$lookup、$validate-code 等操作；需要注册账号并获取 API Key。,需要免费申请 UMLS License 与 API Key；调用需要 Basic Auth（Key 作为用户名）；有调用频次与使用政策，不得批量分发原始 UMLS 数据。,UMLS Terminology Services：https://uts.nlm.nih.gov<br>关于 UMLS FHIR API 的论文（介绍 REST/FHIR 接口）：https://www.mdpi.com/1999-5903/12/11/199,是,需UMLS License和API Key - 整合SNOMED CT、MeSH、LOINC、ICD-10、RxNorm等术语
图谱,CMeKG（中文医学知识图谱）/ 北京大学、郑州大学等学术团队,中文医学知识图谱，包含疾病、症状、药品、检查、手术等实体及关系；适合做中文医疗问答、诊断推理、诊疗路径推荐等知识图谱 RAG。,无官方在线 HTTP API；以三元组/图数据形式提供，可导入 Neo4j 等图数据库；GitHub 提供本地工具包（实体识别、关系抽取等），可自行封装为内部 HTTP 服务。,免费、开放用于研究，需按论文要求引用；数据来自公开医学文本，一般不含个人敏感信息。,GitHub 工具：https://github.com/king-yyf/CMeKG_tools<br>天池数据集页：https://tianchi.aliyun.com/dataset/81506<br>构建方法论文：http://jcip.cipsc.org.cn/CN/Y2019/V33/I10/1,是,需下载导入Neo4j - 中文医学知识图谱，包含疾病、症状、药品、检查等实体关系
图谱,医学知识图谱数据集（协和医院 + CMeKG）/ 国家科学数据中心等,融合协和医院部分真实电子病历的结构化实体和关系，并叠加 CMeKG 知识；适合做带有临床真实样本的科研型知识图谱 RAG（如疾病预测、临床路径分析）。,无官方在线 API；提供结构化数据文件下载，可导入图数据库或关系型数据库，进行本地查询。,需通过平台申请，签署数据使用协议；仅限科研使用，不得外泄患者信息或用于商业化。,数据集详情页（国家科学数据中心）：https://nbsdc.cn/general/dataDetail?id=666067f0195d266d328f21ce&type=1,是,需通过平台申请 - 融合协和医院电子病历的结构化知识图谱
图谱,CMKG（The first Chinese Medical Knowledge Graph）/ GitHub 开源项目,多模态中文医学知识图谱，基于爬取的公开医学网页数据整理成结构化表格；适合做知识补充、多模态医疗 NLP 研究。,无官方在线 API；提供表格/图谱形式的数据文件，可自行导入图数据库或关系型数据库查询。,开源，按许可证使用（一般为研究/非商业为主）；注意原始网页内容的版权合规。,GitHub 项目：https://github.com/WENGSYX/CMKG,待定,GitHub开源数据 - 多模态中文医学知识图谱，基于公开医学网页数据
